TVDBML (m)	Formation pressure (MPa)	Aquifer
1764.024	25.62092	Group H
1872.772	29.20619	Group H
1876.261	29.77156	Group H
1876.771	29.66125	Group H
1956.471	32.23299	Group H
1963.759	32.43983	Group H
2015.586	33.50852	Group H
1160.38	12.77219	Group A/B
1160.91	12.77157	Group A/B
1337.3	14.15445	Group D
1346.41	14.16652	Group D
1362.71	14.18148	Group D
1381.39	14.22395	Group D
1568.21	16.2164	Group E
1620.59	16.80694	Group E
1633.25	16.87623	Group E
1651.75	17.21276	Group E
1652.19	17.21228	Group E
1671.91	17.28157	Group E
1677.9	17.33887	Group E
1678.9	17.34852	Group E
1680.4	17.35948	Group E
1722.71	19.27712	Group E
1725.31	19.27243	Group E
1727.21	19.28195	Group E
1752.93	19.53547	Group E
1756.55	19.54029	Group E
1757.9	19.54443	Group E
1757.92	19.54271	Group E
1771.97	20.87319	Group E
1773.41	20.87574	Group E
1774.22	20.87705	Group E
1822.41	22.12879	Group E
1824.91	22.139	Group E
1824.94	22.13362	Group E
1832.04	22.23035	Group E
1832.13	22.23277	Group E
1845.32	22.52821	Group E
1862.7	23.66108	Group E
1878.51	23.80904	Group E
1891.1	25.02818	Group E
1893.7	25.05114	Group E
1896.4	25.07299	Group E
1896.51	25.08085	Group E
1905.57	25.37236	Group E
1905.61	25.3716	Group E
1911.59	25.43779	Group E
1911.63	25.43428	Group E
1572.894	16.22274	Group E
1576.394	16.22405	Group E
1579.394	16.30065	Group E
1634.394	16.87175	Group E
1635.894	16.87864	Group E
1862.894	23.65646	Group E
1864.394	23.66026	Group E
1891.394	25.01239	Group E
1892.394	25.01508	Group E
1892.894	25.019	Group E
1973.883	30.43346	Group E
1975.383	30.44725	Group E
2007.413	32.05373	Group E
2009.382	32.21231	Group E
2049.38	33.60505	Group E
2112.162	41.73397	Group E
2112.992	41.66502	Group E
2163.768	45.20851	Group F
2164.668	45.2141	Group F
2245.341	46.60656	Group F
2245.841	46.61063	Group F
2246.141	46.60718	Group F
2246.641	46.61035	Group F
2247.141	46.61104	Group F
2296.125	48.80013	Group F
2296.325	48.79834	Group F
2296.825	48.79578	Group F
2296.925	48.79903	Group F
2370.303	51.71847	Group H
2378.3	54.17783	Group H
2502.367	55.44467	Group H
2502.367	55.43364	Group H
2504.467	53.46864	Group H
2533.56	54.14019	Group H
2558.955	54.58283	Group H
2564.553	54.04366	Group H
2564.553	54.01332	Group H
1701.09	18.61233	Group E
1704.7	18.61453	Group E
1711.17	19.27526	Group E
1711.2	19.25844	Group E
1711.99	19.26464	Group E
1749.179	19.58187	Group E
1819.687	22.28496	Group E
1821.687	22.17313	Group E
1823.087	22.18326	Group E
1861.176	23.49175	Group E
1869.296	23.57421	Group E
1871.186	23.59076	Group E
1910.184	25.4098	Group E
1975.279	30.67712	Group E
1985.378	31.03041	Group E
1986.148	31.02882	Group E
1986.158	33.44061	Group E
2002.867	32.03187	Group E
2002.897	32.7874	Group E
2004.957	32.10399	Group E
2005.857	32.04766	Group E
2007.766	32.05173	Group E
2012.156	32.12737	Group E
2023.965	34.21716	Group E
2024.055	34.23716	Group E
2026.685	34.2264	Group E
2030.564	34.2364	Group E
1149.899	12.76089	Group A/B
1183.579	12.72434	Group A/B
1304.879	14.19996	Group A/B
1312.879	14.17417	Group D
1320.889	14.15183	Group D
1543.379	16.02135	Group E
1543.889	16.01438	Group E
1576.889	16.31768	Group E
1374.839	14.45831	Group E
1377.407	14.45831	Group E
1381.216	14.4721	Group E
1381.758	14.4721	Group E
1388.807	14.47899	Group E
1400.446	14.51346	Group E
1403.893	14.52725	Group E
1406.356	14.56173	Group E
1406.838	14.56862	Group E
1409.902	14.6031	Group E
1424.567	14.69962	Group E
1439.643	14.9892	Group E
1441.984	14.9892	Group E
1445.731	15.00299	Group E
1492.859	15.56147	Group E
1543.062	16.03031	Group E
1638.993	17.47821	Group E
1639.481	17.43684	Group E
1641.734	17.45063	Group E
1645.138	17.44374	Group E
1647.284	17.45063	Group E
1654.519	17.46442	Group E
1659.383	17.47821	Group E
1659.958	17.47821	Group E
1663.662	17.4851	Group E
2077.459	43.11292	Group H
2081.409	43.1336	Group H
816.379	8.970079	Group A/B
816.788	8.990764	Group A/B
818.3803	8.604657	Group A/B
954.4421	10.48003	Group A/B
966.8407	10.48693	Group A/B
1169.376	12.70704	Group D
1171.09	12.72083	Group D
1172.004	12.70704	Group D
1270.537	13.23104	Group D
1273.726	13.27241	Group D
1294.935	13.47925	Group E
1311.02	13.61715	Group E
1316.72	13.68609	Group E
1319.228	13.69988	Group E
1346.996	14.02394	Group E
1362.689	14.18252	Group E
1402.959	14.48588	Group E
1426.43	15.13399	Group E
1426.43	14.72031	Group E
1457.098	14.9892	Group E
1459.618	15.00989	Group E
1471.107	15.14089	Group E
1475.783	15.18226	Group E
1476.322	15.20984	Group E
1524.786	15.76142	Group E
1550.569	16.0441	Group E
1550.853	16.0441	Group E
1554.571	16.11305	Group E
1555.032	16.12684	Group E
1557.85	16.13373	Group E
1561.767	16.1751	Group E
1576.648	16.36815	Group E
1577.062	16.38194	Group E
1589.341	16.51984	Group E
1594.121	16.5681	Group E
1595.813	19.00885	Group E
1596.844	16.58879	Group E
1661.004	17.40237	Group E
1665.09	17.44374	Group E
1666.463	17.70574	Group E
1666.765	17.49889	Group E
1674.975	17.60921	Group E
1692.758	17.86432	Group E
1694.469	17.87811	Group E
1695.458	17.85742	Group E
1695.978	17.94705	Group E
1730.832	18.00221	Group E
1741.404	18.00911	Group E
1743.918	17.90569	Group E
1743.932	18.03669	Group E
1746.579	18.05737	Group E
1747.319	18.19526	Group E
1749.406	18.09184	Group E
1752.603	18.11942	Group E
1773.61	18.39521	Group E
1776.077	18.4159	Group E
1778.484	18.47795	Group E
2037.306	40.59633	Group H
2037.316	40.58944	Group H
1232.983	12.5921	Group D
1343.943	13.64176	Group D
1425.971	14.43038	Group D
1479.94	14.94418	Group E
1529.969	15.50465	Group E
1860.936	20.72867	Group F
1874.976	22.07446	Group F
1876.486	22.08377	Group F
1877.466	22.07977	Group F
1900.976	22.65031	Group F
2063.943	33.00755	Group H
857.8401	9.092806	Group A/B
859.3008	9.107009	Group A/B
863.2968	9.145206	Group A/B
887.4017	9.377007	Group A/B
889.7027	9.398381	Group A/B
891.6354	9.421962	Group A/B
1038.876	11.08139	Group A/B
1039.476	11.09435	Group A/B
1229.875	12.51316	Group D
1231.855	12.53053	Group D
1235.365	12.56383	Group D
1246.375	12.66312	Group D
1248.375	12.6796	Group D
1250.885	12.70456	Group D
1261.705	12.80239	Group D
1264.295	12.82701	Group D
1266.385	12.84721	Group D
1363.271	13.79234	Group D
1365.661	13.8144	Group D
1368.371	13.84067	Group D
1571.386	15.87842	Group E
1573.266	15.89469	Group E
1714.865	17.28929	Group E
1717.705	17.2875	Group E
1842.653	18.47154	Group E
1845.313	18.49822	Group E
1847.033	18.51263	Group E
1850.603	18.5529	Group E
1852.283	18.56489	Group E
1854.263	18.58213	Group E
1856.753	18.60412	Group E
1858.343	18.61777	Group E
1860.843	18.64177	Group E
1968.1	24.85257	Group F
1969.34	24.85374	Group F
1970.88	24.86711	Group F
2148.371	39.12651	Group H
2166.24	39.71318	Group H
2191.189	40.28565	Group H
2208.828	40.52359	Group H
